ID,ElevationIV,SLPangleIV,ProflieCVTIV,RoadDISTIV,LINEDISTIV,RSMTIV,LanduseIV,TopographyIV,NDVIIV,Class
285529,0.254,0.0543,0.0367,0.4077,0.1484,0.1029,0.3149,0.095,0.1678,landslide
286076,0.254,0.0543,0.0682,0.0032,0.1484,0.1029,0.2328,0.095,0.2815,landslide
286103,0.0254,0.0856,0.0682,0.1801,0.0041,0.2263,0.3149,0.095,0.0873,landslide
286356,0.254,0.0002,0.0682,0.0032,0.009,0.0174,0.3193,0.095,0.2815,landslide
286636,0.254,0.0002,0.0367,0.4077,0.009,0.1029,0.3149,0.095,0.2815,landslide
286869,0.254,0.0002,0.0682,0.1801,0.1484,0.0417,0.3193,0.2153,0.2815,landslide
287191,0.254,0.0543,0.0367,0.1801,0.009,0.2263,0.2328,0.095,0.006,landslide
287710,0.254,0.0002,0.0682,0.4077,0.009,0.1029,0.3149,0.095,0.1678,landslide
287725,0.254,0.0002,0.0367,0.4077,0.1484,0.1029,0.3149,0.095,0.006,landslide
287178,0.254,0.0543,0.0367,0.1801,0.009,0.1029,0.3149,0.095,0.0079,landslide
287883,0.254,0.0856,0.0682,0.0362,0.5719,0.2263,0.3149,0.095,0.5389,landslide
288003,0.0254,0.0002,0.0367,0.4077,0.009,0.0174,0.3193,0.095,0.1678,landslide
289021,0.254,0.0856,0.0682,0.0362,0.1484,0.000932773,0.3149,0.2153,0.5389,landslide
289105,0.0254,0.0856,0.0367,0.0362,0.009,0.0174,0.3149,0.095,0.1678,landslide
290657,0.254,0.0543,0.0367,0.4077,0.009,0.000932773,0.3149,0.095,0.1678,landslide
292825,0.254,0.0543,0.0367,0.2612,0.5719,0.2263,0.1381,0.095,0.2815,landslide
295023,0.254,0.0543,0.0367,0.0362,0.5719,0.2263,0.3193,0.095,0.1678,landslide
298406,0.254,0.0002,0.0682,0.0032,0.1484,0.0417,0.0183,0.2153,0.1678,landslide
302779,0.3338,0.0354,0.0367,0.1801,0.1484,0.0417,0.1025,0.2153,0.1678,landslide
304975,0.3338,0.0002,0.0367,0.4077,0.1484,0.0417,0.1381,0.2153,0.2815,landslide
305525,0.3338,0.0002,0.0367,0.4077,0.1484,0.0174,0.3193,0.2153,0.2815,landslide
306117,0.0254,0.0002,0.0682,0.1801,0.009,0.0174,0.2328,0.095,0.1678,landslide
308238,0.254,0.0002,0.0682,0.0362,0.1484,0.000932773,0.3149,0.2153,0.006,landslide
308784,0.254,0.0002,0.0682,0.0362,0.1484,0.000932773,0.3149,0.2153,0.5389,landslide
308842,0.254,0.0002,0.0367,0.0032,0.1484,0.0417,0.3149,0.2153,0.1678,landslide
309326,0.254,0.0002,0.0367,0.0362,0.009,0.000932773,0.3149,0.095,0.0079,landslide
309370,0.3338,0.0002,0.0367,0.1801,0.1484,0.0174,0.1025,0.2153,0.2815,landslide
309388,0.254,0.0002,0.0367,0.1801,0.009,0.0417,0.3149,0.2153,0.2815,landslide
311565,0.3338,0.0002,0.0367,0.4077,0.1484,0.0174,0.0183,0.2153,0.0079,landslide
313756,0.3338,0.0543,0.0367,0.4077,0.1484,0.0417,0.1025,0.2153,0.0079,landslide
312069,0.254,0.0002,0.0682,0.0032,0.009,0.000932773,0.2328,0.095,0.1678,landslide
315382,0.254,0.0002,0.0367,0.4077,0.1484,0.000932773,0.2328,0.2153,0.1678,landslide
315931,0.254,0.0856,0.0682,0.1801,0.1484,0.000932773,0.3193,0.2153,0.2815,landslide
